Designer,Color,Description,Size,Price,Opening_Stock,Type,Category
MithQal,MithQal EDP,,,0,1,PERFUMES,Grooming & Fragrance
Oak,Statement,,,0,1,PERFUMES,Grooming & Fragrance
CK one,Red edition,,,0,1,PERFUMES,Grooming & Fragrance
Miguel Mara,MM,,,0,0,PERFUMES,Grooming & Fragrance
Sarah Jessica Parker,BORN LOVELY,,,0,1,PERFUMES,Grooming & Fragrance
Christina Aguilera,,No.1 edp,,40,1,PERFUMES,Grooming & Fragrance
DKNY,,Nectar Love,,60,1,PERFUMES,Grooming & Fragrance
Burberry,Garden Roses,,,0,1,PERFUMES,Grooming & Fragrance
Guerlain,La letite Kobe noine,,,0,2,PERFUMES,Grooming & Fragrance
Bvgari Ladies,Oval Brown,,,300,1,FRAMES,Accessories
Chopard,Silver,Sq /Heart,,320,1,FRAMES,Accessories
Gucci,Oval Blk / green,,,220,1,FRAMES,Accessories
Gucci,Brown,Sq/ GG,,220,1,FRAMES,Accessories
Loewe,Green,Hexagon,,0,120,FRAMES,Accessories
El Hardy,Brown / Dragons,,,150,1,FRAMES,Accessories
Chanel,Black,big rectangular light,,380,1,FRAMES,Accessories
Chanel,Brown,square turtleshell,,380,1,FRAMES,Accessories
Gucci,Black,cat eye,,320,1,FRAMES,Accessories
Gucci,Black,square with gold logo,,350,1,FRAMES,Accessories
Fendi,Light gold,with oval shape,,400,1,FRAMES,Accessories
Jimmy Choo,Black,cat-eye with crystals,,260,1,FRAMES,Accessories
Loius Vuitton,Light gold,aviator,,450,1,FRAMES,Accessories
Prada,white,square,,350,1,FRAMES,Accessories
D&G,Brown,love & crown,,550,1,SUNGLASSES,Accessories
D&G,Blue,love & crown,,550,1,SUNGLASSES,Accessories
Fendi,Black,Fendegraphy,,450,1,SUNGLASSES,Accessories
Fendi,,Round F lens,,350,1,SUNGLASSES,Accessories
Fendi,,FendinGold Sq/Stones,,400,1,SUNGLASSES,Accessories
Fendi,,One piece Aviators,,350,1,SUNGLASSES,Accessories
Valentino,,Hexagon/Stones,,380,1,SUNGLASSES,Accessories
Gucci,Black,Oversized,,380,1,SUNGLASSES,Accessories
Gucci,Gold,Gold Aviators/pink,,320,1,SUNGLASSES,Accessories
Gucci,Black/red,Sq Blk/Red hands,,320,1,SUNGLASSES,Accessories
Gucci,Green,Butterfly,,350,1,SUNGLASSES,Accessories
Gucci,Black,Round wrap GG,,300,1,SUNGLASSES,Accessories
Dior,White,J'ador,,350,1,SUNGLASSES,Accessories
GentleMonster,Pink,Aviators,,275,1,SUNGLASSES,Accessories
Balenciaga,Black,Square,,325,1,SUNGLASSES,Accessories
Versace,Black,Big Sq/medusa,,350,1,SUNGLASSES,Accessories
Versace,Red,Cateye,,250,1,SUNGLASSES,Accessories
Prada,Black,Square,,380,1,SUNGLASSES,Accessories
Gucci,Gold,Reamless/Gold hands,,325,1,SUNGLASSES,Accessories
Lfarrow/PaccoR,,Big Oval,,200,1,SUNGLASSES,Accessories
Tom Ford,,one piece,,280,1,SUNGLASSES,Accessories
Linda Frame,Black,Wayfarers,,275,1,SUNGLASSES,Accessories
Roberto Cavali,Gold,Oval/Sq,,220,1,SUNGLASSES,Accessories
Dior,Black,'Miss Dior' Sq,,325,1,SUNGLASSES,Accessories
Anna Karin Karlsson,Silver,Crystals/Windscreen/Big rectangle,,550,1,SUNGLASSES,Accessories
Burberry,Yellow,Burberry big yellow rectangle,,220,1,SUNGLASSES,Accessories
Burberry,Black,Burberry Black round Oversized,,240,1,SUNGLASSES,Accessories
Burberry,Blue,Burberry Big blue rectangular lens,,220,1,SUNGLASSES,Accessories
Bvlgari,Black,Bvlgari Round small lens,,350,1,SUNGLASSES,Accessories
Bvlgari,Gold,Bvlgari gold sq/stones arrow,,400,1,SUNGLASSES,Accessories
Bottega Vanetta,Gold/Black/Grey,Bottega Veneta Big oval lens with long-curved hand,,450,1,SUNGLASSES,Accessories
Celine,Ashy Gold,Celine Round small lens,,300,1,SUNGLASSES,Accessories
Celine,Pink,Celine pink Rectangle lens,,220,1,SUNGLASSES,Accessories
C Dior,White,Aviators/Reflectors,,350,1,SUNGLASSES,Accessories
C Dior,White,Aviators white/Silver hands,,350,1,SUNGLASSES,Accessories
Channel,Gold/Grey,Channel round chain,,450,0,SUNGLASSES,Accessories
Channel,Gold/brown,Channel Rectangle/Red hands/Chain,,550,1,SUNGLASSES,Accessories
Channel,Gold,Chanel gold round/brown chain,,450,1,SUNGLASSES,Accessories
Channel,Silver,channel square/chanel pattern,,450,1,SUNGLASSES,Accessories
Channel,Gold,Chanel gold round solid,,500,2,SUNGLASSES,Accessories
Channel,Black,Cateye/white hands,,400,1,SUNGLASSES,Accessories
Channel,Black,Oversized/ Gold chanel logo,,550,1,SUNGLASSES,Accessories
Channel,Gold,Chanel gold round with brown lens,,450,1,SUNGLASSES,Accessories
Channel,Black/gold/silver,Aviators reflectors,,400,1,SUNGLASSES,Accessories
Chloe,Gold,Chloe oval big lens,,280,1,SUNGLASSES,Accessories
D&G,Gold,Aviators/Dg hands,,280,1,SUNGLASSES,Accessories
D&G,Black,D&G rectangle with flower hands,,320,1,SUNGLASSES,Accessories
D&G,Gold,Windscreen,,350,1,SUNGLASSES,Accessories
D&G,Black,Cateye/Gold hand/Dg Stones,,280,1,SUNGLASSES,Accessories
Dior,Silver/multicolor,Oval/Cateye,,280,1,SUNGLASSES,Accessories
Dior,Black/gold/silver,Dior Oval,,350,1,SUNGLASSES,Accessories
Dior,Gold,Hexagon,,350,1,SUNGLASSES,Accessories
Fendi,Brown,Fendi windscreen,,280,1,SUNGLASSES,Accessories
Fendi,Gold,Lens Aviators,,320,1,SUNGLASSES,Accessories
Fendi,White/Gold,Half shape,,280,1,SUNGLASSES,Accessories
Fendi,Brown,Turtleshell Clubmaster/white hands,,220,1,SUNGLASSES,Accessories
Ferragamo,Black,oversized/ Gold hands,,280,1,SUNGLASSES,Accessories
Ferragamo,Black,Cateye turtleshell/gold logo,,260,1,SUNGLASSES,Accessories
Gentle Monster,Black,Cateye Black/Gold hands,,350,1,SUNGLASSES,Accessories
Gentle Monster,Gold,Cateye/Pink lens,,350,1,SUNGLASSES,Accessories
Gucci,Gold/red/blue,Rectangle big screen,,220,1,SUNGLASSES,Accessories
Gucci,Black,Hexagon Big,,380,1,SUNGLASSES,Accessories
Gucci,Black,Oversized/Gold hands & Chain,,500,1,SUNGLASSES,Accessories
Gucci,Brown,Turtleshell Oversized chain,,500,1,SUNGLASSES,Accessories
Gucci,Black,Stones with big rectangle,,450,1,SUNGLASSES,Accessories
Gucci,Black&White,GG round,,220,1,SUNGLASSES,Accessories
Gucci,Gold,Sq big/Chain hands,,280,1,SUNGLASSES,Accessories
Gucci,Gold,Red Shine Hexagon/Gold,,280,1,SUNGLASSES,Accessories
Gucci,White & Gold,Big Round Oversized,,350,1,SUNGLASSES,Accessories
Gucci,Black & Gold,Sq Oversized,,350,1,SUNGLASSES,Accessories
Gucci,Gold,Big Kite/Pink hands,,260,1,SUNGLASSES,Accessories
Gucci,Black,Windscreen/Shield,,380,1,SUNGLASSES,Accessories
Gucci,Gold,Square/Stripe hands,,240,1,SUNGLASSES,Accessories
Gucci,Gold,Small Hexagon/bee hands,,260,1,SUNGLASSES,Accessories
Jimmy Choo,Brown,Oval Shiny brown,,180,1,SUNGLASSES,Accessories
MiuMui,Red,Red Cateye,,180,1,SUNGLASSES,Accessories
Robert Cavali,Black,Cateye,,320,1,SUNGLASSES,Accessories
Robert Cavali,Brown,Cateye Turtleshell,,320,1,SUNGLASSES,Accessories
Saint Lauren,Brown/Gold/Creame,Betty,,355,1,SUNGLASSES,Accessories
Thome Browne,Pink,Round Half/Gold,,550,1,SUNGLASSES,Accessories
Thome Browne,Pink,Windscreen big,,550,1,SUNGLASSES,Accessories
Versace,Gold&White,Aviators,,380,1,SUNGLASSES,Accessories
Valentino,Gold,Hexagon/Yellow lens,,350,1,SUNGLASSES,Accessories
Valentino,Gold,Hexagon light/blue lens,,350,1,SUNGLASSES,Accessories
